truck_state,load,decision,decision_score,outcome,future_state,regret,timestamp
"{'fuel_percent': 30, 'time_left_hours': 4.7, 'capacity_left_tons': 10}","{'load_weight_tons': 4, 'additional_time_hours': 1.8, 'profit_inr': 2586}",REJECT,-8.71,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.9000000000000004, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 70, 'time_left_hours': 2.8, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 1.9, 'profit_inr': 1169}",ACCEPT,26.13,"{'actual_profit_inr': 1078, 'delay_hours': 0.93, 'fuel_used_percent': 9}","{'time_left_hours': 0.8999999999999999, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 43, 'time_left_hours': 3.5, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.9, 'profit_inr': 562}",REJECT,19.5,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.6, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 30, 'time_left_hours': 4.1, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.8, 'profit_inr': 1198}",REJECT,15.19,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.3, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 39, 'time_left_hours': 3.7, 'capacity_left_tons': 4}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 1588}",ACCEPT,-8.43,"{'actual_profit_inr': 1511, 'delay_hours': 0.84, 'fuel_used_percent': 6}","{'time_left_hours': 3.1, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 42, 'time_left_hours': 4.1, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.2, 'profit_inr': 2952}",REJECT,10.56,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.8999999999999995, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 54, 'time_left_hours': 3.8, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 1.7, 'profit_inr': 2979}",REJECT,16.81,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.0999999999999996, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 62, 'time_left_hours': 2.8, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 1.5, 'profit_inr': 2693}",ACCEPT,17.04,"{'actual_profit_inr': 2506, 'delay_hours': 0.45, 'fuel_used_percent': 13}","{'time_left_hours': 1.2999999999999998, 'capacity_left_tons': 9}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 30, 'time_left_hours': 4.7, 'capacity_left_tons': 6}","{'load_weight_tons': 4, 'additional_time_hours': 1.1, 'profit_inr': 1378}",ACCEPT,-18.72,"{'actual_profit_inr': 1256, 'delay_hours': 1.26, 'fuel_used_percent': 7}","{'time_left_hours': 3.6, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 41, 'time_left_hours': 2.8, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 1.8, 'profit_inr': 1391}",REJECT,11.34,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.9999999999999998, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 50, 'time_left_hours': 3.1, 'capacity_left_tons': 2}","{'load_weight_tons': 3, 'additional_time_hours': 1.5, 'profit_inr': 2288}",ACCEPT,-7.2,"{'actual_profit_inr': 2156, 'delay_hours': 0.58, 'fuel_used_percent': 15}","{'time_left_hours': 1.6, 'capacity_left_tons': -1}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 21, 'time_left_hours': 6.0, 'capacity_left_tons': 10}","{'load_weight_tons': 1, 'additional_time_hours': 1.3, 'profit_inr': 728}",ACCEPT,11.46,"{'actual_profit_inr': 639, 'delay_hours': 0.91, 'fuel_used_percent': 6}","{'time_left_hours': 4.7, 'capacity_left_tons': 9}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 35, 'time_left_hours': 5.7, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.1, 'profit_inr': 2445}",ACCEPT,-11.24,"{'actual_profit_inr': 2253, 'delay_hours': 1.21, 'fuel_used_percent': 5}","{'time_left_hours': 4.6, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 79, 'time_left_hours': 6.0, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 1.3, 'profit_inr': 1709}",ACCEPT,15.09,"{'actual_profit_inr': 1696, 'delay_hours': 1.48, 'fuel_used_percent': 14}","{'time_left_hours': 4.7, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 48, 'time_left_hours': 4.3, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 1.5, 'profit_inr': 2887}",REJECT,5.55,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.8, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 49, 'time_left_hours': 3.4, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 0.8, 'profit_inr': 2801}",REJECT,7.95,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.5999999999999996, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 71, 'time_left_hours': 5.2, 'capacity_left_tons': 7}","{'load_weight_tons': 3, 'additional_time_hours': 1.4, 'profit_inr': 970}",REJECT,20.37,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.8000000000000003, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.994087
"{'fuel_percent': 24, 'time_left_hours': 5.4, 'capacity_left_tons': 2}","{'load_weight_tons': 3, 'additional_time_hours': 0.5, 'profit_inr': 1087}",REJECT,-5.23,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.9, 'capacity_left_tons': -1}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 56, 'time_left_hours': 3.1, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 1808}",ACCEPT,26.29,"{'actual_profit_inr': 1567, 'delay_hours': 1.25, 'fuel_used_percent': 10}","{'time_left_hours': 2.3, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 29, 'time_left_hours': 2.8, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.0, 'profit_inr': 724}",REJECT,-6.45,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.7999999999999998, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 47, 'time_left_hours': 5.1, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 0.6, 'profit_inr': 617}",REJECT,26.62,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.5, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 78, 'time_left_hours': 3.4, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.7, 'profit_inr': 2585}",ACCEPT,28.13,"{'actual_profit_inr': 2288, 'delay_hours': 0.31, 'fuel_used_percent': 12}","{'time_left_hours': 1.7, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 43, 'time_left_hours': 4.5, 'capacity_left_tons': 7}","{'load_weight_tons': 3, 'additional_time_hours': 1.0, 'profit_inr': 1293}",ACCEPT,26.53,"{'actual_profit_inr': 1009, 'delay_hours': 0.48, 'fuel_used_percent': 13}","{'time_left_hours': 3.5, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 73, 'time_left_hours': 4.8, 'capacity_left_tons': 4}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 1771}",REJECT,0.67,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.1999999999999997, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 49, 'time_left_hours': 4.4, 'capacity_left_tons': 3}","{'load_weight_tons': 2, 'additional_time_hours': 1.7, 'profit_inr': 2942}",REJECT,9.18,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.7, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 26, 'time_left_hours': 4.8, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 0.9, 'profit_inr': 2353}",REJECT,7.85,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.9, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 41, 'time_left_hours': 4.3, 'capacity_left_tons': 2}","{'load_weight_tons': 4, 'additional_time_hours': 1.9, 'profit_inr': 545}",REJECT,-1.7,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.4, 'capacity_left_tons': -2}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 33, 'time_left_hours': 3.4, 'capacity_left_tons': 9}","{'load_weight_tons': 2, 'additional_time_hours': 0.5, 'profit_inr': 2738}",ACCEPT,-15.92,"{'actual_profit_inr': 2696, 'delay_hours': 0.91, 'fuel_used_percent': 6}","{'time_left_hours': 2.9, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 46, 'time_left_hours': 2.1, 'capacity_left_tons': 7}","{'load_weight_tons': 4, 'additional_time_hours': 1.3, 'profit_inr': 2885}",REJECT,-14.72,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.8, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 34, 'time_left_hours': 5.9, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 0.5, 'profit_inr': 1628}",REJECT,16.44,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.4, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 79, 'time_left_hours': 3.9, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 1.3, 'profit_inr': 1218}",REJECT,6.91,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.5999999999999996, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 41, 'time_left_hours': 6.0, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 1.1, 'profit_inr': 549}",ACCEPT,21.48,"{'actual_profit_inr': 545, 'delay_hours': 0.54, 'fuel_used_percent': 9}","{'time_left_hours': 4.9, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 60, 'time_left_hours': 2.2, 'capacity_left_tons': 8}","{'load_weight_tons': 1, 'additional_time_hours': 0.6, 'profit_inr': 2701}",REJECT,16.36,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.6, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 25, 'time_left_hours': 5.1, 'capacity_left_tons': 8}","{'load_weight_tons': 3, 'additional_time_hours': 0.7, 'profit_inr': 1653}",REJECT,1.26,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.3999999999999995, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 59, 'time_left_hours': 5.4, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 1.8, 'profit_inr': 2055}",REJECT,-8.71,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.6000000000000005, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 78, 'time_left_hours': 5.1, 'capacity_left_tons': 5}","{'load_weight_tons': 4, 'additional_time_hours': 1.7, 'profit_inr': 809}",REJECT,16.41,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.3999999999999995, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 37, 'time_left_hours': 5.9, 'capacity_left_tons': 4}","{'load_weight_tons': 2, 'additional_time_hours': 1.0, 'profit_inr': 1678}",ACCEPT,19.24,"{'actual_profit_inr': 1636, 'delay_hours': 0.92, 'fuel_used_percent': 6}","{'time_left_hours': 4.9, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 37, 'time_left_hours': 4.7, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 2535}",ACCEPT,2.44,"{'actual_profit_inr': 2433, 'delay_hours': 1.35, 'fuel_used_percent': 6}","{'time_left_hours': 4.1000000000000005, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 57, 'time_left_hours': 4.6, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 0.8, 'profit_inr': 1465}",ACCEPT,23.54,"{'actual_profit_inr': 1212, 'delay_hours': 0.88, 'fuel_used_percent': 13}","{'time_left_hours': 3.8, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 79, 'time_left_hours': 4.5, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.7, 'profit_inr': 2033}",ACCEPT,19.94,"{'actual_profit_inr': 1931, 'delay_hours': 0.88, 'fuel_used_percent': 5}","{'time_left_hours': 2.8, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 63, 'time_left_hours': 3.4, 'capacity_left_tons': 9}","{'load_weight_tons': 3, 'additional_time_hours': 1.2, 'profit_inr': 2376}",ACCEPT,-19.96,"{'actual_profit_inr': 2167, 'delay_hours': 0.64, 'fuel_used_percent': 12}","{'time_left_hours': 2.2, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 45, 'time_left_hours': 2.7, 'capacity_left_tons': 6}","{'load_weight_tons': 2, 'additional_time_hours': 0.8, 'profit_inr': 2413}",ACCEPT,27.39,"{'actual_profit_inr': 2242, 'delay_hours': 1.34, 'fuel_used_percent': 14}","{'time_left_hours': 1.9000000000000001, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 22, 'time_left_hours': 4.2, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 0.8, 'profit_inr': 674}",REJECT,-17.7,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.4000000000000004, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 49, 'time_left_hours': 4.6, 'capacity_left_tons': 2}","{'load_weight_tons': 1, 'additional_time_hours': 0.6, 'profit_inr': 1461}",ACCEPT,-12.78,"{'actual_profit_inr': 1422, 'delay_hours': 0.57, 'fuel_used_percent': 13}","{'time_left_hours': 3.9999999999999996, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 31, 'time_left_hours': 4.5, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.3, 'profit_inr': 2870}",ACCEPT,18.11,"{'actual_profit_inr': 2829, 'delay_hours': 0.08, 'fuel_used_percent': 6}","{'time_left_hours': 3.2, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 38, 'time_left_hours': 3.4, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 1.5, 'profit_inr': 2655}",ACCEPT,-19.97,"{'actual_profit_inr': 2621, 'delay_hours': 0.32, 'fuel_used_percent': 10}","{'time_left_hours': 1.9, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 48, 'time_left_hours': 3.6, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 1.8, 'profit_inr': 2250}",ACCEPT,-0.97,"{'actual_profit_inr': 2018, 'delay_hours': 0.83, 'fuel_used_percent': 13}","{'time_left_hours': 1.8, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 47, 'time_left_hours': 2.5, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 1.8, 'profit_inr': 1768}",REJECT,13.2,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 0.7, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 47, 'time_left_hours': 5.9, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 573}",REJECT,-1.91,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.300000000000001, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 61, 'time_left_hours': 5.7, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 1.4, 'profit_inr': 2170}",REJECT,-7.63,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 4.300000000000001, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 72, 'time_left_hours': 2.5, 'capacity_left_tons': 4}","{'load_weight_tons': 3, 'additional_time_hours': 1.5, 'profit_inr': 2439}",ACCEPT,26.09,"{'actual_profit_inr': 2338, 'delay_hours': 1.27, 'fuel_used_percent': 14}","{'time_left_hours': 1.0, 'capacity_left_tons': 1}",0,2026-02-01T02:45:41.995085
"{'fuel_percent': 37, 'time_left_hours': 3.2, 'capacity_left_tons': 7}","{'load_weight_tons': 1, 'additional_time_hours': 0.8, 'profit_inr': 2515}",REJECT,10.34,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.4000000000000004, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 58, 'time_left_hours': 2.4, 'capacity_left_tons': 10}","{'load_weight_tons': 2, 'additional_time_hours': 1.2, 'profit_inr': 1253}",REJECT,6.6,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.2, 'capacity_left_tons': 8}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 26, 'time_left_hours': 5.1, 'capacity_left_tons': 8}","{'load_weight_tons': 1, 'additional_time_hours': 0.6, 'profit_inr': 2919}",ACCEPT,3.82,"{'actual_profit_inr': 2790, 'delay_hours': 0.52, 'fuel_used_percent': 8}","{'time_left_hours': 4.5, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 57, 'time_left_hours': 2.6, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 0.5, 'profit_inr': 1224}",ACCEPT,27.68,"{'actual_profit_inr': 1045, 'delay_hours': 0.76, 'fuel_used_percent': 11}","{'time_left_hours': 2.1, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 40, 'time_left_hours': 3.2, 'capacity_left_tons': 5}","{'load_weight_tons': 3, 'additional_time_hours': 1.0, 'profit_inr': 2464}",ACCEPT,15.5,"{'actual_profit_inr': 2291, 'delay_hours': 1.5, 'fuel_used_percent': 8}","{'time_left_hours': 2.2, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 79, 'time_left_hours': 3.1, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 0.8, 'profit_inr': 2442}",ACCEPT,17.1,"{'actual_profit_inr': 2277, 'delay_hours': 1.29, 'fuel_used_percent': 10}","{'time_left_hours': 2.3, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 66, 'time_left_hours': 2.6, 'capacity_left_tons': 6}","{'load_weight_tons': 3, 'additional_time_hours': 0.6, 'profit_inr': 2687}",REJECT,27.25,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.0, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 50, 'time_left_hours': 4.8, 'capacity_left_tons': 6}","{'load_weight_tons': 1, 'additional_time_hours': 1.6, 'profit_inr': 2452}",ACCEPT,-8.23,"{'actual_profit_inr': 2355, 'delay_hours': 0.62, 'fuel_used_percent': 13}","{'time_left_hours': 3.1999999999999997, 'capacity_left_tons': 5}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 80, 'time_left_hours': 5.0, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 2.0, 'profit_inr': 2233}",ACCEPT,3.78,"{'actual_profit_inr': 2000, 'delay_hours': 0.57, 'fuel_used_percent': 9}","{'time_left_hours': 3.0, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 39, 'time_left_hours': 4.0, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.6, 'profit_inr': 1087}",ACCEPT,24.33,"{'actual_profit_inr': 975, 'delay_hours': 0.84, 'fuel_used_percent': 13}","{'time_left_hours': 2.4, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 25, 'time_left_hours': 5.7, 'capacity_left_tons': 5}","{'load_weight_tons': 3, 'additional_time_hours': 1.9, 'profit_inr': 1758}",ACCEPT,1.75,"{'actual_profit_inr': 1582, 'delay_hours': 0.68, 'fuel_used_percent': 8}","{'time_left_hours': 3.8000000000000003, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 46, 'time_left_hours': 3.6, 'capacity_left_tons': 8}","{'load_weight_tons': 4, 'additional_time_hours': 1.8, 'profit_inr': 2104}",REJECT,22.65,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.8, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 40, 'time_left_hours': 3.1, 'capacity_left_tons': 9}","{'load_weight_tons': 4, 'additional_time_hours': 0.5, 'profit_inr': 895}",ACCEPT,27.36,"{'actual_profit_inr': 735, 'delay_hours': 1.28, 'fuel_used_percent': 11}","{'time_left_hours': 2.6, 'capacity_left_tons': 5}",1,2026-02-01T02:45:41.996088
"{'fuel_percent': 43, 'time_left_hours': 3.0, 'capacity_left_tons': 5}","{'load_weight_tons': 1, 'additional_time_hours': 1.9, 'profit_inr': 1105}",ACCEPT,-11.79,"{'actual_profit_inr': 852, 'delay_hours': 0.25, 'fuel_used_percent': 10}","{'time_left_hours': 1.1, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 63, 'time_left_hours': 3.1, 'capacity_left_tons': 7}","{'load_weight_tons': 3, 'additional_time_hours': 1.2, 'profit_inr': 2596}",REJECT,-19.99,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.9000000000000001, 'capacity_left_tons': 4}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 62, 'time_left_hours': 5.9, 'capacity_left_tons': 8}","{'load_weight_tons': 2, 'additional_time_hours': 0.7, 'profit_inr': 2929}",REJECT,23.19,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 5.2, 'capacity_left_tons': 6}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 73, 'time_left_hours': 3.4, 'capacity_left_tons': 4}","{'load_weight_tons': 4, 'additional_time_hours': 1.6, 'profit_inr': 2172}",ACCEPT,14.29,"{'actual_profit_inr': 2079, 'delay_hours': 1.11, 'fuel_used_percent': 9}","{'time_left_hours': 1.7999999999999998, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 50, 'time_left_hours': 2.5, 'capacity_left_tons': 3}","{'load_weight_tons': 3, 'additional_time_hours': 1.9, 'profit_inr': 2270}",ACCEPT,22.77,"{'actual_profit_inr': 2263, 'delay_hours': 0.54, 'fuel_used_percent': 14}","{'time_left_hours': 0.6000000000000001, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 36, 'time_left_hours': 2.5, 'capacity_left_tons': 2}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 2882}",ACCEPT,-9.0,"{'actual_profit_inr': 2713, 'delay_hours': 0.51, 'fuel_used_percent': 11}","{'time_left_hours': 1.9, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 44, 'time_left_hours': 3.1, 'capacity_left_tons': 5}","{'load_weight_tons': 2, 'additional_time_hours': 1.8, 'profit_inr': 584}",REJECT,16.91,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 1.3, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.996088
"{'fuel_percent': 53, 'time_left_hours': 4.1, 'capacity_left_tons': 3}","{'load_weight_tons': 1, 'additional_time_hours': 1.1, 'profit_inr': 2943}",REJECT,19.03,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.9999999999999996, 'capacity_left_tons': 2}",0,2026-02-01T02:45:41.997090
"{'fuel_percent': 29, 'time_left_hours': 4.0, 'capacity_left_tons': 4}","{'load_weight_tons': 1, 'additional_time_hours': 1.6, 'profit_inr': 578}",REJECT,11.45,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 2.4, 'capacity_left_tons': 3}",0,2026-02-01T02:45:41.997090
"{'fuel_percent': 53, 'time_left_hours': 4.5, 'capacity_left_tons': 10}","{'load_weight_tons': 3, 'additional_time_hours': 1.5, 'profit_inr': 2860}",REJECT,0.28,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.0, 'capacity_left_tons': 7}",0,2026-02-01T02:45:41.997090
"{'fuel_percent': 69, 'time_left_hours': 3.9, 'capacity_left_tons': 2}","{'load_weight_tons': 2, 'additional_time_hours': 0.6, 'profit_inr': 2803}",REJECT,-7.98,"{'actual_profit_inr': 0, 'delay_hours': 0, 'fuel_used_percent': 0}","{'time_left_hours': 3.3, 'capacity_left_tons': 0}",0,2026-02-01T02:45:41.997090
